"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","HTTP","",""
"pre_128cipher","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","",""
"SSLv3","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","",""
"TLS1","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","LOW","offered (deprecated)","",""
"TLS1_1","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","LOW","offered (deprecated)","",""
"TLS1_2","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","offered","",""
"TLS1_3","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","http/1.1","",""
"cipherlist_NULL","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","not offered","",""
"cipherlist_STRONG","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","offered","",""
"cipher_order","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","server","",""
"protocol_negotiated","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","DHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_1","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","DHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_2","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","offered","",""
"FS_ciphers","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA DHE-RSA-SEED-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","prime256v1 secp384r1 secp521r1","",""
